date,classification,daily_total_pnl,daily_avg_pnl,trade_count,profitable_count,win_rate
2023-03-28,Greed,0.0,0.0,1,0,0.0
2023-11-14,Greed,3915.74,11.45,342,91,27.0
2024-03-09,Extreme Greed,172249.41,44.41,3879,2399,62.0
2024-07-03,Neutral,56041.29,16.1,3481,1140,33.0
2024-10-27,Greed,568822.19,30.94,18383,7766,42.0
2025-02-19,Fear,1183130.19,19.07,62036,24418,39.0
